#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
923.55,425.23,1135.33,751.12
916.37,421.79,1111.34,760.16
920.37,421.57,1139.59,761.29
915.12,422.22,1142.67,792.18
910.22,424.79,1143.27,788.00
920.68,417.71,1146.10,784.52
922.01,412.89,1143.65,772.04
925.95,413.60,1142.42,781.09
927.27,421.63,1143.93,775.59
924.42,426.69,1144.40,791.21
919.91,423.18,1144.85,796.46
929.19,423.23,1141.12,811.71
929.86,429.12,1107.83,814.85
904.01,420.93,1107.58,815.12
905.38,414.80,1119.79,819.59
907.62,417.95,1117.48,821.78
910.66,418.97,1112.18,830.27
923.20,423.14,1121.53,819.71
927.28,424.08,1114.12,826.29
924.84,423.81,1112.69,823.45
923.48,423.95,1107.99,819.24
923.48,422.88,1107.99,815.10
927.83,423.17,1106.31,811.15
926.61,423.70,1104.10,809.41
927.91,422.64,1103.98,808.77
924.81,423.39,1102.96,803.49
922.76,423.60,1103.06,802.09
928.66,424.23,1102.81,791.39
924.18,422.42,1102.68,791.22
929.05,421.11,1104.21,789.34
930.93,421.39,1104.88,787.66
930.09,421.20,1103.16,784.96
931.96,420.11,1102.43,785.50
931.35,420.55,1102.56,791.11
930.76,419.43,1101.98,793.70
928.91,420.11,1102.35,800.28
931.21,418.79,1101.54,801.54
931.36,417.92,1101.25,799.66
929.35,418.26,1103.03,808.11
919.92,416.45,1104.53,807.85
927.09,420.73,1107.83,799.42
930.18,418.74,1105.59,797.82
944.61,421.70,1102.04,793.03
924.07,417.12,1099.72,798.48
926.51,414.14,1100.57,796.28
919.27,413.75,1097.10,786.21
917.32,416.02,1096.01,787.22
915.15,415.08,1096.23,794.08
909.78,416.38,1088.16,788.92
909.64,414.98,1105.26,806.31
907.97,411.86,1105.93,795.32
911.93,414.83,1121.16,792.01
911.89,413.15,1123.20,789.20
909.86,416.27,1124.19,806.82
901.93,415.42,1131.48,808.49
910.51,412.71,1130.84,814.09
915.66,430.08,1142.06,812.53
927.61,437.90,1135.11,780.74
912.87,436.90,1077.56,771.45
909.27,440.80,1050.44,749.95
907.65,436.48,1027.22,753.45
903.38,435.46,1022.14,756.92
920.89,436.71,1029.81,757.01
911.83,437.49,1027.70,757.51
909.30,437.73,1018.59,768.89
912.56,438.08,1043.62,771.46
932.05,442.95,1080.96,786.93
936.86,438.15,1081.21,802.47
929.67,442.33,1079.49,808.73
933.21,443.49,1077.63,805.05
937.05,442.70,1075.52,806.39
937.66,441.82,1077.67,805.61
934.11,443.79,1080.28,803.47
937.36,441.62,1079.25,796.59
940.79,437.26,1088.89,809.55
939.17,438.83,1099.63,808.14
940.67,442.23,1094.97,809.35
940.77,442.85,1100.70,803.41
944.12,451.23,1131.11,820.31
941.82,449.38,1130.09,790.35
938.22,446.99,1125.48,817.98
932.02,445.85,1126.69,821.27
937.51,444.90,1119.60,821.72
957.90,446.46,1113.22,810.77
958.44,446.49,1108.14,833.91
947.71,444.86,1111.09,826.76
933.11,444.14,1113.06,825.28
935.01,444.36,1118.71,829.37
935.91,444.30,1138.85,845.02
945.22,445.46,1140.63,845.59
943.35,445.88,1136.45,821.46
938.99,448.49,1145.87,830.66
937.18,445.70,1140.61,816.26
940.89,445.93,1133.67,862.19
944.89,443.19,1122.28,887.59
963.72,442.79,1151.49,873.21
964.50,444.30,1151.29,861.01
967.16,451.56,1146.21,848.66
971.34,453.90,1144.93,859.69
970.09,453.95,1153.02,877.34
963.65,454.34,1155.89,891.47
963.15,454.12,1143.79,873.28
971.79,455.46,1135.77,850.93
965.50,450.74,1133.22,852.92
971.66,456.02,1139.91,845.69
998.87,454.12,1162.19,833.91
1014.20,461.99,1120.16,829.34
997.63,458.91,1133.44,851.87
1019.59,448.65,1135.67,876.82
1016.97,451.20,1142.19,872.45
1008.02,447.56,1137.82,849.10
1007.86,447.89,1133.43,901.86
998.79,451.43,1145.96,898.58
1008.09,452.15,1145.52,881.73
1007.87,452.27,1149.35,868.57
1008.78,452.42,1152.58,880.41
997.17,451.77,1146.19,876.42
1002.06,453.08,1145.54,879.99
1010.80,446.66,1145.14,906.79
1014.24,448.11,1147.26,921.36
1012.41,451.38,1151.83,903.55
1016.12,450.01,1152.55,901.56
1016.78,449.91,1150.47,901.41
1019.43,449.87,1152.05,917.58
1017.50,451.76,1153.65,903.47
1016.34,452.75,1150.75,908.48
