#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
398.83,118.82,55.11,87.86
492.68,118.54,54.38,88.46
612.43,118.47,55.29,89.10
1298.93,117.58,56.31,88.96
4115.48,116.50,56.96,88.32
4115.48,116.07,57.13,87.62
4115.48,115.49,55.47,87.42
1343.42,116.25,56.22,87.29
3497.01,119.41,59.17,87.99
4115.48,117.54,62.55,87.07
3459.56,117.22,63.90,88.03
1030.10,116.74,63.69,86.19
4115.48,115.62,64.83,87.92
328.60,178.54,64.80,88.85
339.21,116.71,65.51,88.94
620.76,115.08,66.46,87.61
186.41,114.93,66.25,87.39
119.85,114.50,63.67,87.79
118.34,114.20,62.36,90.82
118.44,115.37,62.01,90.61
236.61,115.39,63.83,92.68
122.85,114.54,65.21,96.33
187.27,114.48,64.67,96.33
177.99,115.68,64.44,97.11
142.96,116.11,65.13,96.94
247.57,115.47,63.20,99.76
224.90,116.78,63.69,99.74
473.94,116.62,63.08,97.24
556.54,117.14,63.01,97.63
197.07,116.89,64.21,98.21
173.91,116.82,63.85,96.55
273.02,116.98,64.58,97.84
308.85,118.86,61.81,98.60
279.00,119.96,62.49,98.26
426.69,119.33,62.48,97.29
464.80,118.67,61.63,97.90
559.45,119.31,61.94,98.12
172.19,119.48,61.45,97.86
326.83,119.60,60.76,98.44
584.93,120.39,60.94,97.39
168.24,120.14,60.24,97.14
271.32,122.21,61.15,95.30
358.32,120.33,60.85,95.52
185.67,121.95,62.01,97.45
914.97,119.57,65.04,98.08
157.88,197.10,68.47,95.09
229.85,125.25,64.94,96.11
238.49,125.01,65.43,95.33
197.68,122.94,64.78,97.04
293.20,124.26,65.00,95.96
183.93,124.25,65.37,97.57
568.20,124.40,63.49,96.50
230.93,125.00,63.17,99.03
596.72,125.48,63.10,99.04
634.23,150.41,63.10,99.30
270.89,135.50,65.90,100.40
270.26,135.93,66.61,100.10
176.49,139.28,67.01,101.06
336.48,491.09,68.43,103.79
207.52,222.78,69.68,101.11
345.80,150.24,70.09,101.43
275.31,154.24,70.78,98.70
4115.48,172.21,70.57,99.64
4115.48,283.33,70.82,100.79
3007.37,283.17,70.58,100.41
210.95,152.11,71.64,100.43
142.21,312.83,70.11,98.82
164.04,312.74,71.82,98.55
1531.71,310.39,70.79,97.97
1588.51,301.79,72.65,97.72
152.25,298.13,70.55,99.68
302.03,292.40,71.87,102.54
198.06,283.26,72.61,101.12
201.60,280.29,71.07,95.62
173.19,222.32,70.60,96.73
338.24,186.69,71.75,97.85
387.61,140.56,70.18,99.68
454.59,130.66,71.28,99.18
537.36,128.98,71.54,100.43
566.72,129.16,72.27,100.54
421.07,128.10,70.89,100.12
517.98,129.01,70.32,98.65
309.23,129.81,71.54,95.94
212.15,128.79,69.36,95.21
209.90,134.04,70.17,95.54
757.07,401.11,69.87,98.14
206.09,327.85,68.89,97.94
398.10,272.54,68.71,98.65
339.35,297.08,69.57,100.86
371.05,432.36,68.85,100.08
526.87,517.78,68.57,100.46
269.15,154.46,69.25,94.73
459.92,147.50,69.42,90.53
663.50,446.37,70.49,91.36
273.57,133.20,70.20,92.94
518.55,130.24,70.43,94.77
1096.06,129.95,69.82,92.86
551.85,130.58,70.55,93.83
696.10,131.27,69.68,96.17
603.80,138.43,70.11,95.46
819.56,276.51,69.40,95.83
543.93,409.10,69.46,96.29
570.86,439.96,69.95,95.75
415.27,126.92,67.34,94.10
238.13,126.08,67.99,94.72
223.41,125.66,67.82,97.46
788.96,133.29,71.60,101.18
449.31,131.23,72.38,106.86
383.34,155.33,81.60,123.21
437.89,148.07,92.00,124.25
405.82,147.43,88.43,127.25
434.92,154.64,85.76,133.95
259.89,166.14,85.10,135.70
223.48,343.87,82.99,134.87
158.71,458.34,83.60,134.26
151.37,162.13,85.86,131.38
175.74,165.54,84.25,135.46
212.01,165.63,84.83,137.80
441.31,165.07,85.32,137.54
376.02,166.60,86.51,129.62
277.80,181.71,87.36,129.07
4115.48,255.56,89.86,134.73
528.41,201.43,90.69,125.71
2871.01,340.03,89.61,127.44
4115.48,444.42,84.87,125.65
4115.48,395.80,85.46,121.90
406.74,320.20,84.11,125.33
2264.27,462.90,88.75,125.31
605.13,442.20,87.39,126.44
4115.48,381.33,85.56,124.29
4115.48,174.59,84.56,125.56
179.41,518.58,88.04,121.43
674.30,613.16,85.00,120.93
208.42,416.80,85.87,120.14
2660.38,183.37,92.70,132.80
243.21,178.49,91.67,131.31
229.83,175.70,93.72,132.14
146.18,177.27,92.53,131.50
258.06,311.35,93.35,131.09
148.05,279.06,92.64,130.21
297.75,252.88,94.07,130.99
318.64,247.85,94.15,134.12
359.05,242.98,94.49,132.40
170.35,241.02,94.07,132.34
142.66,237.77,94.65,131.85
138.65,214.73,93.76,133.37
139.84,196.74,92.85,133.43
141.05,189.76,94.47,132.48
138.16,181.54,95.69,132.84
171.37,176.36,94.42,133.91
137.02,172.95,94.93,131.39
132.66,173.41,94.15,134.46
136.32,173.16,93.39,132.74
138.63,170.54,93.54,132.35
137.03,170.88,94.36,133.46
342.16,170.87,94.19,132.49
139.57,213.59,91.33,133.01
285.72,211.49,91.36,132.37
469.37,210.95,92.38,132.63
132.40,210.02,92.86,132.55
129.70,210.17,92.55,133.24
138.91,185.70,91.57,131.72
135.98,179.47,92.77,132.55
207.05,177.57,92.23,132.45
189.95,173.68,91.37,132.52
128.05,171.93,92.49,133.74
